Dataset,Error_Type,Corruption_Survives_Preprocessing,Cleaning_Has_Effect,Train_Test_Aligned,Note
Breast Cancer,categorical_errors,False,False,True,
Breast Cancer,class_imbalance,True,True,True,
Breast Cancer,contextual_errors,True,True,True,
Breast Cancer,data_heterogeneity,False,False,True,
Breast Cancer,data_inconsistency,True,True,True,
Breast Cancer,data_leakage,True,True,True,
Breast Cancer,domain_violations,True,True,True,
Breast Cancer,duplicates,True,True,True,
Breast Cancer,duplicates_minority,True,True,True,
Breast Cancer,duplicates_targeted,True,True,True,
Breast Cancer,feature_noise,True,True,True,
Breast Cancer,feature_noise_targeted,True,True,True,
Breast Cancer,imbalanced_feature_distribution,True,True,True,
Breast Cancer,invalid_values,True,True,True,
Breast Cancer,missing_values,True,True,True,
Breast Cancer,missing_values_mnar,True,True,True,
Breast Cancer,outliers,True,True,True,
Breast Cancer,outliers_targeted,True,True,True,
Breast Cancer,redundant_features,True,True,True,
Breast Cancer,typographical_errors,False,False,True,
German Credit,categorical_errors,True,False,True,
German Credit,class_imbalance,True,True,True,
German Credit,contextual_errors,True,True,True,
German Credit,data_heterogeneity,False,False,True,
German Credit,data_inconsistency,True,True,True,
German Credit,data_leakage,True,True,True,
German Credit,domain_violations,True,True,True,
German Credit,duplicates,True,True,True,
German Credit,duplicates_minority,True,True,True,
German Credit,duplicates_targeted,True,True,True,
German Credit,feature_noise,True,True,True,
German Credit,feature_noise_targeted,True,True,True,
German Credit,imbalanced_feature_distribution,True,True,True,
German Credit,invalid_values,True,True,True,
German Credit,missing_values,True,True,True,
German Credit,missing_values_mnar,True,True,True,
German Credit,outliers,True,True,True,
German Credit,outliers_targeted,True,True,True,
German Credit,redundant_features,True,True,True,
German Credit,typographical_errors,True,True,True,
Adult Income,categorical_errors,True,True,True,
Adult Income,class_imbalance,True,True,True,
Adult Income,contextual_errors,True,True,True,
Adult Income,data_heterogeneity,False,False,True,
Adult Income,data_inconsistency,True,True,True,
Adult Income,data_leakage,True,True,True,
Adult Income,domain_violations,True,True,True,
Adult Income,duplicates,True,True,True,
Adult Income,duplicates_minority,True,True,True,
Adult Income,duplicates_targeted,True,True,True,
Adult Income,feature_noise,True,True,True,
Adult Income,feature_noise_targeted,True,True,True,
Adult Income,imbalanced_feature_distribution,True,True,True,
Adult Income,invalid_values,True,True,True,
Adult Income,missing_values,True,True,True,
Adult Income,missing_values_mnar,True,True,True,
Adult Income,outliers,True,True,True,
Adult Income,outliers_targeted,True,True,True,
Adult Income,redundant_features,True,True,True,
Adult Income,typographical_errors,True,True,True,
Bank Marketing,categorical_errors,True,False,True,
Bank Marketing,class_imbalance,True,True,True,
Bank Marketing,contextual_errors,True,True,True,
Bank Marketing,data_heterogeneity,False,False,True,
Bank Marketing,data_inconsistency,True,True,True,
Bank Marketing,data_leakage,True,True,True,
Bank Marketing,domain_violations,True,True,True,
Bank Marketing,duplicates,True,True,True,
Bank Marketing,duplicates_minority,True,True,True,
Bank Marketing,duplicates_targeted,True,True,True,
Bank Marketing,feature_noise,True,True,True,
Bank Marketing,feature_noise_targeted,True,True,True,
Bank Marketing,imbalanced_feature_distribution,True,True,True,
Bank Marketing,invalid_values,True,True,True,
Bank Marketing,missing_values,True,True,True,
Bank Marketing,missing_values_mnar,True,True,True,
Bank Marketing,outliers,True,True,True,
Bank Marketing,outliers_targeted,True,True,True,
Bank Marketing,redundant_features,True,True,True,
Bank Marketing,typographical_errors,True,True,True,
Telco Churn,categorical_errors,True,False,True,
Telco Churn,class_imbalance,True,True,True,
Telco Churn,contextual_errors,True,True,True,
Telco Churn,data_heterogeneity,False,False,True,
Telco Churn,data_inconsistency,True,True,True,
Telco Churn,data_leakage,True,True,True,
Telco Churn,domain_violations,True,True,True,
Telco Churn,duplicates,True,True,True,
Telco Churn,duplicates_minority,True,True,True,
Telco Churn,duplicates_targeted,True,True,True,
Telco Churn,feature_noise,True,True,True,
Telco Churn,feature_noise_targeted,True,True,True,
Telco Churn,imbalanced_feature_distribution,True,True,True,
Telco Churn,invalid_values,True,True,True,
Telco Churn,missing_values,True,True,True,
Telco Churn,missing_values_mnar,True,True,True,
Telco Churn,outliers,True,False,True,
Telco Churn,outliers_targeted,True,True,True,
Telco Churn,redundant_features,True,True,True,
Telco Churn,typographical_errors,True,True,True,
